Following data is valid as of 20260831182703:

Item #,Card #,Transaction Date,Posting Date,Transaction Amount,Description
1,'4000000000001234',20260603,20260604,29.03,HARBOR INSURANCE CO TORONTO ON
2,'4000000000001234',20260604,20260605,18.42,FRESH MART #204 TORONTO ON
3,'4000000000001234',20260605,20260606,10.99,SPOTIFY CANADA TORONTO ON
4,'4000000000001234',20260606,20260608,22.62,OPENROUTER INC NEW YORK NY
5,'4000000000001234',20260608,20260609,7.85,PRESTO FARE/TAP TORONTO ON
6,'4000000000001234',20260611,20260612,12.99,DUOLINGO SUPER PITTSBURGH PA
7,'4000000000001234',20260614,20260615,64.37,URBAN GROCER TORONTO ON
8,'4000000000001234',20260617,20260618,14.99,CANVA PRO SYDNEY AU
9,'4000000000001234',20260620,20260622,38.16,SHELL CIRCLE K TORONTO ON
10,'4000000000001234',20260625,20260626,43.21,BOOKSHOP ONLINE BROOKLYN NY
11,'4000000000001234',20260703,20260704,31.74,HARBOR INSURANCE CO TORONTO ON
12,'4000000000001234',20260705,20260707,10.99,SPOTIFY CANADA TORONTO ON
13,'4000000000001234',20260706,20260707,22.62,OPENROUTER INC NEW YORK NY
14,'4000000000001234',20260709,20260710,9.58,PRESTO FARE/TAP TORONTO ON
15,'4000000000001234',20260712,20260713,12.99,DUOLINGO SUPER PITTSBURGH PA
16,'4000000000001234',20260715,20260716,71.12,URBAN GROCER TORONTO ON
17,'4000000000001234',20260717,20260718,14.99,CANVA PRO SYDNEY AU
18,'4000000000001234',20260720,20260721,23.47,DOLLAR SHOP #118 TORONTO ON
19,'4000000000001234',20260724,20260725,42.18,SHELL CIRCLE K TORONTO ON
20,'4000000000001234',20260729,20260730,88.40,HOME HARDWARE TORONTO ON
21,'4000000000001234',20260803,20260804,29.85,HARBOR INSURANCE CO TORONTO ON
22,'4000000000001234',20260804,20260805,10.99,SPOTIFY CANADA TORONTO ON
23,'4000000000001234',20260806,20260807,22.62,OPENROUTER INC NEW YORK NY
24,'4000000000001234',20260810,20260811,6.40,PRESTO FARE/TAP TORONTO ON
25,'4000000000001234',20260811,20260812,12.99,DUOLINGO SUPER PITTSBURGH PA
26,'4000000000001234',20260817,20260818,14.99,CANVA PRO SYDNEY AU
27,'4000000000001234',20260819,20260820,58.27,URBAN GROCER TORONTO ON
28,'4000000000001234',20260822,20260824,44.93,SHELL CIRCLE K TORONTO ON
29,'4000000000001234',20260827,20260828,19.76,COFFEE ROASTERS TORONTO ON
30,'4000000000001234',20260830,20260831,52.10,TRAINLINE TICKETS LONDON GB
31,'4000000000001234',20260603,20260604,6.20,COFFEE ROASTERS TORONTO ON
32,'4000000000001234',20260605,20260606,48.91,SHOPPERS DRUG MART TORONTO ON
33,'4000000000001234',20260607,20260608,16.74,LYFT *STANDARD 06-07 TORONTO ON
34,'4000000000001234',20260609,20260610,34.26,UBER EATS TORONTO ON
35,'4000000000001234',20260612,20260613,117.83,COSTCO WHOLESALE ETOBICOKE ON
36,'4000000000001234',20260616,20260617,28.44,INDIGO BOOKS TORONTO ON
37,'4000000000001234',20260618,20260619,9.10,PRESTO FARE/TAP TORONTO ON
38,'4000000000001234',20260621,20260622,72.19,WINNERS #440 TORONTO ON
39,'4000000000001234',20260623,20260624,11.35,TIM HORTONS #2812 TORONTO ON
40,'4000000000001234',20260628,20260629,39.88,LCBO #511 TORONTO ON
41,'4000000000001234',20260701,20260702,21.56,LYFT *STANDARD 07-01 TORONTO ON
42,'4000000000001234',20260704,20260706,67.90,FRESH MART #204 TORONTO ON
43,'4000000000001234',20260708,20260709,5.75,COFFEE ROASTERS TORONTO ON
44,'4000000000001234',20260711,20260712,92.40,SPORT CHEK TORONTO ON
45,'4000000000001234',20260713,20260714,14.62,PHO HOUSE TORONTO ON
46,'4000000000001234',20260718,20260720,36.71,UBER EATS TORONTO ON
47,'4000000000001234',20260722,20260723,18.95,PARKING GREEN P TORONTO ON
48,'4000000000001234',20260726,20260727,16.80,TIM HORTONS #2812 TORONTO ON
49,'4000000000001234',20260730,20260731,54.82,SHOPPERS DRUG MART TORONTO ON
50,'4000000000001234',20260801,20260803,44.15,AMAZON MKTPLACE PMTS SEATTLE WA
51,'4000000000001234',20260805,20260806,27.64,LYFT *STANDARD 08-05 TORONTO ON
52,'4000000000001234',20260807,20260810,122.08,COSTCO WHOLESALE ETOBICOKE ON
53,'4000000000001234',20260809,20260810,8.95,COFFEE ROASTERS TORONTO ON
54,'4000000000001234',20260813,20260814,33.18,REXALL PHARMACY TORONTO ON
55,'4000000000001234',20260815,20260817,76.45,ZARA TORONTO EATON CTR ON
56,'4000000000001234',20260818,20260819,14.30,PARKING GREEN P TORONTO ON
57,'4000000000001234',20260821,20260824,29.41,UBER EATS TORONTO ON
58,'4000000000001234',20260824,20260825,13.05,TIM HORTONS #2812 TORONTO ON
59,'4000000000001234',20260826,20260827,61.72,HOME HARDWARE TORONTO ON
60,'4000000000001234',20260829,20260831,86.33,FRESH MART #204 TORONTO ON
